"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"1","Aa",30,23,7
"2","Abant.lake",1,1,NA
"3","Abashiri",3,3,NA
"4","Abhe.Bad",11,11,NA
"5","Abogain.Gol",6,6,NA
"6","Abu.gawa",8,8,NA
"7","Abukuma",7,6,1
"8","Abula",5,5,NA
"9","Acaponeta",16,16,NA
"10","Aceh",16,14,2
"11","Acheloos",38,20,18
"12","Acisu",8,7,1
"13","Aconcagua",27,21,6
"14","Actopan",20,20,NA
"15","Adako.un",9,8,1
"16","Adana",3,3,NA
"17","Adelaide",64,64,NA
"18","Adige",24,18,6
"19","Adour",42,27,15
"20","Agano",17,15,2
"21","Aghnashini",55,55,NA
"22","Agly",22,17,5
"23","Agneby",82,82,NA
"24","Agri",17,7,10
"25","Agrioun",2,2,NA
"26","Aguan",37,37,NA
"27","Aguanaval",7,6,1
"28","Ahaggar",6,6,NA
"29","Aire",10,10,NA
"30","Aki",13,13,NA
"31","Akitio",10,9,1
"32","Aksu",40,36,4
"33","Aksu.North",36,34,2
"34","Alabama",246,225,21
"35","Alafia",69,44,25
"36","Alagnak",18,18,NA
"37","Alara",9,7,2
"38","Alas",61,57,4
"39","Alaska.un.1",6,6,NA
"40","Alaska.un.2",3,3,NA
"41","Alazeja",28,28,NA
"42","Albany",36,36,NA
"43","Albegna",14,5,9
"44","Albert.lake",15,2,13
"45","Aldoma",15,15,NA
"46","Alemeda.creek",62,22,40
"47","Alfios",20,9,11
"48","Alfta",3,3,NA
"49","Aliakmon",50,38,12
"50","Alice",26,26,NA
"51","Allahein.River",13,13,NA
"52","Alligator.creek",5,5,NA
"53","Allika",6,6,NA
"54","Alsea",35,18,17
"55","Alsek",28,27,1
"56","Altaelva",9,8,1
"57","Altamaha",118,97,21
"58","Altja",12,12,NA
"59","Amahlongwa",8,7,1
"60","Amansuri",8,8,NA
"61","Amazon",2271,2266,5
"62","Amba",60,50,10
"63","Ambalam.Oya",30,28,2
"64","Amboyninghy.Point",2,2,NA
"65","Ameca",51,48,3
"66","Amguema",21,21,NA
"67","Amu.Darya",63,50,14
"68","Amur",157,145,12
"69","An.Lao",43,42,1
"70","Anabar",30,30,NA
"71","Anadyr",31,30,1
"72","Anasco",46,44,2
"73","Ancharakandi",29,28,1
"74","Andakilsa",3,3,NA
"75","Andalien",21,17,4
"76","Andella.Oya",32,30,2
"77","Anderson",18,18,NA
"78","Andranangoo",11,11,NA
"79","Andreevka",3,3,NA
"80","Angermanalven",23,20,3
"81","Anglesea",3,3,NA
"82","Angurugu.creek",9,9,NA
"83","Aniakchak",17,17,NA
"84","Ankobra",27,27,NA
"85","Annan.Aus",16,16,NA
"86","Annan.UK",28,20,8
"87","Ansan",16,15,1
"88","Anseongcheon",85,81,4
"89","Ansons",15,14,1
"90","Antelope.Wash",31,1,30
"91","Anzali",45,35,10
"92","Aojiang",58,57,1
"93","Aorere",16,13,3
"94","Apalachicola",151,126,25
"95","Aparima",18,16,2
"96","Apodi",14,13,1
"97","Appomattox",85,57,28
"98","Approuague",248,248,NA
"99","Appuvar",7,7,NA
"100","Apuka",20,20,NA
"101","Arachthos",17,11,6
"102","Arade",16,11,5
"103","Arahura",18,17,1
"104","Arakawa",19,14,5
"105","Arakawa.Yamagata",1,1,NA
"106","Aransas",23,17,6
"107","Arawhata",14,12,2
"108","Archer",41,41,NA
"109","Areias",99,99,NA
"110","Argens",41,26,15
"111","Ariro",5,5,NA
"112","Armark",9,9,NA
"113","Armeria",50,43,7
"114","Arnaud",6,6,NA
"115","Arno",38,14,24
"116","Aroa",38,36,2
"117","Aropaoanui",16,11,5
"118","Arques",19,17,2
"119","Arroio.Barcelo",20,20,NA
"120","Arroio.Bolacha",14,14,NA
"121","Arroio.Diluvio",51,48,3
"122","Arroio.Douradinho",26,26,NA
"123","Arroio.Sao.Lourenco",24,24,NA
"124","Arroio.Teixeira",26,26,NA
"125","Arroio.Velhaco",31,31,NA
"126","Arroio.do.Conde",46,46,NA
"127","Arroio.do.Petim",11,11,NA
"128","Arroio.do.Ribeiro",44,44,NA
"129","Arroio.do.Salso",12,12,NA
"130","Arrowsmith",1,1,NA
"131","Arroyo.Maldonado",33,33,NA
"132","Arroyo.Martin",39,38,1
"133","Arroyo.Viloldo",11,11,NA
"134","Arroyo.Walker",1,1,NA
"135","Arroyo.Zapata",12,12,NA
"136","Arroyo.de.San.Nicolas",6,6,NA
"137","Arthur",13,11,2
"138","Aruvi.Aru",41,39,2
"139","Asah",4,4,NA
"140","Ashburton.Aus",16,16,NA
"141","Ashburton.NZ",20,14,6
"142","Ashida",1,1,NA
"143","Ashley.NZ",14,12,2
"144","Ashley.USA",64,47,17
"145","Asi",46,44,2
"146","Asinaro",7,4,3
"147","Assif.Tamraght",4,4,NA
"148","Athi",118,108,10
"149","Atimet",18,18,NA
"150","Atrak",36,31,5
"151","Atran",20,19,1
"152","Atrato",183,183,NA
"153","Attack.creek",2,2,NA
"154","Attanagalu.Oya",54,50,4
"155","Aucilla",60,56,4
"156","Aude",46,31,15
"157","Audru",4,4,NA
"158","Aulne",19,17,2
"159","Austari.Jokulsa",4,4,NA
"160","Authie",16,12,4
"161","Ave",13,6,7
"162","Avoca",5,4,1
"163","Avon.Aus",16,12,4
"164","Avon.Eng",26,21,5
"165","Avon.Moors",26,23,3
"166","Avon.NZ",19,13,6
"167","Awakino",12,10,2
"168","Awano",9,9,NA
"169","Awanui",15,11,4
"170","Awaroa",2,1,1
"171","Awarua",8,7,1
"172","Awasa.Hayk",6,6,NA
"173","Awatere",13,11,2
"174","Awe",12,11,1
"175","Awhea",8,8,NA
"176","Axios",53,45,8
"177","Azuri",6,4,2
"178","Ba",52,51,1
"179","Babol",57,47,10
"180","Back",13,13,NA
"181","Baffle.creek",14,13,1
"182","Bago.Negros",36,27,9
"183","Bagru",39,39,NA
"184","Bagura.Oya",30,28,2
"185","Bahar.el.Hammar",2,2,NA
"186","Baharu",11,11,NA
"187","Bahi.Swamp",10,10,NA
"188","Bailebu",1,1,NA
"189","Bakensrivier",41,39,2
"190","Bakhura",6,6,NA
"191","Bakir.Cayi",32,30,2
"192","Balcombe.creek",15,14,1
"193","Balikun",1,1,NA
"194","Balkhash",50,15,35
"195","Balla.Balla",1,1,NA
"196","Balsas",101,79,22
"197","Balyktah",2,2,NA
"198","Bambawe.Oya",30,28,2
"199","Banano",15,15,NA
"200","Bandama",125,121,4
"201","Bangpakong",92,91,1
"202","Banka.island",40,40,NA
"203","Bann",23,13,10
"204","Baram",92,90,2
"205","Barham",11,10,1
"206","Baringo",15,15,NA
"207","Barito",52,52,NA
"208","Barm.e.Shor",3,3,NA
"209","Barongarook.creek",6,6,NA
"210","Barranca",41,41,NA
"211","Barraport",1,1,NA
"212","Barron",75,64,11
"213","Barrow",21,17,4
"214","Bartin",40,37,3
"215","Barwon",27,20,7
"216","Basento",11,5,6
"217","Basgoz.Cayi",27,25,2
"218","Bat.Gberi",8,8,NA
"219","Batang.Hari",177,177,NA
"220","Batang.Kerang",42,41,1
"221","Baudo",77,77,NA
"222","Bay.View",10,7,3
"223","Bayano",65,65,NA
"224","Beadon.Bay",2,2,NA
"225","Bear.lake",42,9,33
"226","Bear.river",54,19,35
"227","Beauly",10,9,1
"228","Bebedero",36,36,NA
"229","Bedjestan",4,3,1
"230","Bedti",43,42,1
"231","Bega.1",17,16,1
"232","Bega.2",24,23,1
"233","Beilun.He",53,52,1
"234","Beimenjiang",48,47,1
"235","Bejucal",22,21,1
"236","Belait",62,62,NA
"237","Belize",47,47,NA
"238","Bellinger",24,23,1
"239","Bemm",18,18,NA
"240","Ben.Hai",54,53,1
"241","Benara.creek",3,3,NA
"242","Benevente",45,41,4
"243","Bengkalis.Island",15,15,NA
"244","Bensbach",53,52,1
"245","Bentota.Ganga",51,48,3
"246","Benut",27,27,NA
"247","Berg",11,7,4
"248","Berkeley",4,4,NA
"249","Bernam",87,86,1
"250","Bero",17,17,NA
"251","Betka",17,17,NA
"252","Betsiboka",20,14,6
"253","Beysehir",18,17,1
"254","Bharathapuzha",95,92,3
"255","Bia",69,67,2
"256","Biaru",10,10,NA
"257","Biferno",17,7,10
"258","Big.Sur",8,6,2
"259","Biga",46,42,4
"260","Biliu.He",53,49,4
"261","Billa.Bilba.creek",11,11,NA
"262","Billeroo.creek",5,5,NA
"263","Billiton.Island",22,22,NA
"264","Biobio",29,25,4
"265","Biwa",67,52,15
"266","Black",8,7,1
"267","Blackmore",31,31,NA
"268","Blackstone",39,21,18
"269","Blackwater",23,20,3
"270","Blackwater.USA",83,71,12
"271","Blackwood",21,15,6
"272","Blanche",15,12,3
"273","Blanche.Bay",6,5,1
"274","Blanda",3,3,NA
"275","Blavet",34,23,11
"276","Bloody.Bay",6,6,NA
"277","Bloomfield",7,7,NA
"278","Blue.lake.Aus",4,4,NA
"279","Bluewater.creek",5,5,NA
"280","Blyth",33,33,NA
"281","Blythe",7,6,1
"282","Bo.Langvlei",7,5,2
"283","Bodigoda.Aru",30,28,2
"284","Boesmansrivier",43,41,2
"285","Bofon",35,35,NA
"286","Boga",4,4,NA
"287","Boghen",22,20,2
"288","Bohle",25,25,NA
"289","Bolaman",37,35,2
"290","Bolchaia.Voroskaia",15,15,NA
"291","Bolgoda.lake",45,43,2
"292","Bollin",26,20,6
"293","Bolsaia",2,2,NA
"294","Bolshoye",7,7,NA
"295","Bolson.de.Cuatro.Cienegas",6,6,NA
