"","x"
"1","Rhabdalestes tangensis"
"2","Jenynsia lineata"
"3","Sternarchella schotti"
"4","Xyliphius barbatus"
"5","Balitoropsis zollingeri"
"6","Pseudogastromyzon changtingensis"
"7","Channa argus"
"8","Acrobrycon ipanquianus"
"9","Aphyocharax nattereri"
"10","Astyanax multidens"
"11","Hemigrammus lunatus"
"12","Astatoreochromis straeleni"
"13","Haplochromis pharyngalis"
"14","Maylandia lanisticola"
"15","Maylandia pyrsonotos"
"16","Maylandia pyrsonotos"
"17","Maylandia zebra"
"18","Vieja melanurus"
"19","Pseudosimochromis babaulti"
"20","Tristramella simonis"
"21","Chrysichthys auratus"
"22","Alosa caspia"
"23","Alosa caspia"
"24","Odaxothrissa losera"
"25","Microthrissa congica"
"26","Acantopsis dialuzona"
"27","Botia rostrata"
"28","Acrossocheilus longipinnis"
"29","Anabarilius liui"
"30","Anabarilius liui"
"31","Barbus lacerta"
"32","Enteromius neumayeri"
"33","Enteromius radiatus"
"34","Capoeta damascina"
"35","Capoeta damascina"
"36","Ageneiogarra imberba"
"37","Ageneiogarra imberba"
"38","Henicorhynchus caudimaculatus"
"39","Labeobarbus johnstonii"
"40","Cheilobarbus capensis"
"41","Labeobarbus codringtonii"
"42","Labeobarbus johnstonii"
"43","Barbus lacerta"
"44","Alburnus doriae"
"45","Phoxinus phoxinus"
"46","Leucos basak"
"47","Leucos basak"
"48","Sarcocheilichthys nigripinnis"
"49","Sarcocheilichthys variegatus"
"50","Schizothorax yunnanensis"
"51","Squalidus chankaensis"
"52","Squalidus gracilis"
"53","Squalidus japonicus"
"54","Tor putitora"
"55","Esmaeilius sophiae"
"56","Esmaeilius sophiae"
"57","Cyprinodon nevadensis"
"58","Esox americanus"
"59","Gasterosteus aculeatus"
"60","Arcos nudus"
"61","Pseudogobius poicilosoma"
"62","Crenichthys baileyi"
"63","Hypostomus gymnorhynchus"
"64","Hypostomus corantijni"
"65","Hypostomus gymnorhynchus"
"66","Pterygoplichthys ambrosettii"
"67","Aphanotorulus horridus"
"68","Aphanotorulus horridus"
"69","Aphanotorulus emarginatus"
"70","Isorineloricaria tenuicauda"
"71","Aphanotorulus horridus"
"72","Mastacembelus frenatus"
"73","Mastacembelus congicus"
"74","Mastacembelus frenatus"
"75","Hippopotamyrus pictus"
"76","Planiliza melinoptera"
"77","Paracobitis malapterura"
"78","Paraschistura kessleri"
"79","Nothobranchius orthonotus"
"80","Platypanchax modestus"
"81","Poropanchax luxophthalmus"
"82","Austrolebias bellottii"
"83","Cynolebias porosus"
"84","Salvelinus leucomaenis"
"85","Bagarius bagarius"
