"ID"	"Order"	"Family"	"Genus"	"Apomixis(Yes/Uncertain)"	"Apospory"	"Diplospory"	"Apospory&Diplospory"	"AdventitiousEmbryony"	"Remarks"	
"33"	"Alismatales"	"Araceae"	"Aglaonema"	"Y"	"Y"	""	""	""	""
"662"	"Apiales"	""	"Angelica"	"Y"	"Y"	""	""	""	""
"72"	"Asparagales"	"Asparagaceae (including Agavaceae, Aphyllanthaceae, Hesperocallidaceae, Hyacinthaceae, Laxmanniaceae, Ruscaceae, Themidaceae)"	"Ornithogalum"	"Y"	"Y"	""	""	"Y"	""
"86"	"Asparagales"	"Orchidaceae"	"Dactylorchis"	"Y"	"Y"	""	""	""	""
"101"	"Asparagales"	"Orchidaceae"	"Zygopetalum"	"Y"	"Y"	""	""	"Y"	""
"595"	"Asterales"	"Asteraceae"	"Antennaria"	"Y"	"Y"	"Y"	"Y"	""	""
"605"	"Asterales"	"Asteraceae"	"Calotis"	"Y"	"Y"	""	""	""	""
"606"	"Asterales"	"Asteraceae"	"Campovassouria"	"Y"	"Y"	""	""	""	""
"607"	"Asterales"	"Asteraceae"	"Campuloclinium"	"Y"	"Y"	""	""	""	""
"613"	"Asterales"	"Asteraceae"	"Cineraria (Senecio)"	"Y"	"Y"	""	""	""	""
"615"	"Asterales"	"Asteraceae"	"Crepis"	"Y"	"Y"	""	""	""	""
"617"	"Asterales"	"Asteraceae"	"Erigeron"	"Y"	"Y"	"Y"	"Y"	""	""
"618"	"Asterales"	"Asteraceae"	"Eupatorium"	"Y"	"Y"	"Y"	"Y"	""	""
"619"	"Asterales"	"Asteraceae"	"Eurybiopsis (Minuria)"	"Y"	"Y"	""	""	""	""
"622"	"Asterales"	"Asteraceae"	"Gutierrezia"	"Y"	"Y"	""	""	""	""
"632"	"Asterales"	"Asteraceae"	"Minuria"	"Y"	"Y"	""	""	""	""
"633"	"Asterales"	"Asteraceae"	"Parthenium"	"Y"	"Y"	"Y"	"Y"	""	""
"636"	"Asterales"	"Asteraceae"	"Pilosella"	"Y"	"Y"	""	""	""	""
"402"	"Brassicales"	"Brassicaceae"	"Boechera (Arabis)"	"Y"	"Y"	"Y"	"Y"	"Y"	""
"403"	"Brassicales"	"Brassicaceae"	"Iberis"	"Y"	"Y"	"Y"	""	""	""
"470"	"Caryophyllales"	"Amaranthaceae (Chenopodiaceae)"	"Beta"	"Y"	"Y"	"Y"	"Y"	"Y"	""
"496"	"Caryophyllales"	"Polygonaceae"	"Atraphaxis"	"Y"	"Y"	""	""	"Y"	""
"301"	"Cucurbitales"	"Cucurbitaceae"	"Cucumis"	"Y"	"Y"	"Y"	"Y"	"Y"	""
"303"	"Cucurbitales"	"Cucurbitaceae"	"Marah"	"Y"	"Y"	""	""	""	""
"47"	"Dioscoreales"	"Dioscoreaceae"	"Tacca"	"Y"	"Y"	""	""	""	""
"658"	"Dipsacales"	"Adoxaceae"	"Sambucus"	"Y"	"Y"	""	""	"Y"	""
"515"	"Ericales"	"Cyrillaceae"	"Cliftonia"	"Y"	"Y"	""	""	""	""
"313"	"Fabales"	"Fabaceae"	"Trifolium"	"Y"	"Y"	""	""	""	""
"322"	"Fagales"	"Juglandaceae (including Rhoipteleaceae)"	"Juglans"	"Y"	"Y"	""	""	""	""
"568"	"Lamiales"	"Plantaginaceae"	"Globularia"	"Y"	"Y"	""	""	""	""
"21"	"Laurales"	"Lauraceae"	"Lindera"	"Y"	"Y"	""	""	""	""
"28"	"Magnoliales"	"Magnoliaceae"	"Woonyoungia"	"Y"	"Y"	""	""	""	""
"262"	"Malpighiales"	"Erythroxylaceae (including Aneulophus)"	"Erythroxylum"	"Y"	"Y"	""	""	""	""
"268"	"Malpighiales"	"Euphorbiaceae"	"Manihot"	"Y"	"Y"	""	""	""	""
"271"	"Malpighiales"	"Hypericaceae"	"Hypericum"	"Y"	"Y"	""	""	""	""
"282"	"Malpighiales"	"Malpighiaceae"	"Hiptage"	"Y"	"Y"	""	""	"Y"	""
"285"	"Malpighiales"	"Ochnaceae (including Medusagynaceae, Quiinaceae)"	"Ochna"	"Y"	"Y"	"Y"	"Y"	"Y"	""
"377"	"Myrtales"	"Melastomataceae (including Memecylaceae)"	"Rhexia"	"Y"	"Y"	""	""	""	""
"383"	"Myrtales"	"Myrtaceae"	"Eugenia (Syzygium)"	"Y"	"Y"	""	""	"Y"	""
"122"	"Poales"	"Poaceae"	"Anthephora"	"Y"	"Y"	""	""	""	""
"123"	"Poales"	"Poaceae"	"Anthoxanthum (Hierochloe)"	"Y"	"Y"	""	""	""	""
"124"	"Poales"	"Poaceae"	"Apluda"	"Y"	"Y"	""	""	""	""
"125"	"Poales"	"Poaceae"	"Arundinella"	"Y"	"Y"	""	""	""	""
"126"	"Poales"	"Poaceae"	"Bothriochloa"	"Y"	"Y"	""	""	"Y"	""
"127"	"Poales"	"Poaceae"	"Bouteloua"	"Y"	"Y"	""	""	""	""
"128"	"Poales"	"Poaceae"	"Brachiaria"	"Y"	"Y"	""	""	""	""
"130"	"Poales"	"Poaceae"	"Buchloe"	"Y"	"Y"	""	""	""	""
"132"	"Poales"	"Poaceae"	"Capillipedium"	"Y"	"Y"	""	""	""	""
"133"	"Poales"	"Poaceae"	"Cenchrus"	"Y"	"Y"	""	""	"Y"	""
"134"	"Poales"	"Poaceae"	"Chionachne"	"Y"	"Y"	""	""	""	""
"135"	"Poales"	"Poaceae"	"Chloris"	"Y"	"Y"	""	""	""	""
"137"	"Poales"	"Poaceae"	"Cortaderia"	"Y"	"Y"	""	""	""	""
"138"	"Poales"	"Poaceae"	"Dactylis"	"Y"	"Y"	""	""	""	""
"139"	"Poales"	"Poaceae"	"Danthonia"	"Y"	"Y"	""	""	""	""
"140"	"Poales"	"Poaceae"	"Dichanthium"	"Y"	"Y"	"Y"	""	""	""
"141"	"Poales"	"Poaceae"	"Echinochloa"	"Y"	"Y"	""	""	""	""
"144"	"Poales"	"Poaceae"	"Eragrostiella"	"Y"	"Y"	""	""	""	""
"145"	"Poales"	"Poaceae"	"Eremopogon"	"Y"	"Y"	""	""	""	""
"146"	"Poales"	"Poaceae"	"Eriochloa"	"Y"	"Y"	""	""	""	""
"147"	"Poales"	"Poaceae"	"Eulaliopsis"	"Y"	"Y"	""	""	"Y"	""
"148"	"Poales"	"Poaceae"	"Eustachys"	"Y"	"Y"	""	""	""	""
