ID,Region_id,entity_ID,OBJIDsic,glonaf_ID,GIFT_ID,overlap,keep,hasdata,Merge,geo_entity,IDregion,regionF,ISOcountry,name,duplicated,TDWG,island
5,5,10572,511,511,10572,full,TRUE,TRUE,FALSE,Albania,ALB,Albania,ALB,Albania,FALSE,1,
6,6,11434,1654,1654,11434,full,TRUE,TRUE,FALSE,Andorra,AND,NA,NA,Andorra,FALSE,1,
148,148,10608,650,650,10608,full,TRUE,TRUE,FALSE,Bulgaria,BGR,Bulgaria,BGR,Bulgaria,FALSE,1,
149,149,11443,1655,1655,11443,full,TRUE,TRUE,FALSE,Bosnia and Herzegovina,BIH,NA,NA,Bosnia and Herzegovina,FALSE,1,
151,151,10599,653,653,10599,full,TRUE,TRUE,FALSE,Belarus,BLR,Belarus,BLR,Belarus,FALSE,1,
206,206,10056,710,710,10056,full,TRUE,TRUE,FALSE,Switzerland,CHE,Switzerland,CHE,Switzerland,FALSE,1,
296,296,10960,824,824,10960,full,TRUE,TRUE,FALSE,Czech Republic,CZE,Czech Republic,CZE,Czech Republic,FALSE,1,
297,297,10681,825,825,10681,full,TRUE,TRUE,FALSE,Germany,DEU,Germany,DEU,Germany,FALSE,1,
300,300,10657,828,828,10657,full,TRUE,TRUE,FALSE,Denmark,DNK,Denmark,DNK,Denmark,FALSE,1,
322,322,11456,838,838,11456,full,TRUE,TRUE,FALSE,Estonia,EST,Estonia,EST,Estonia,FALSE,1,
324,324,10672,840,840,10672,full,TRUE,TRUE,FALSE,Finland,FIN,Finland,FIN,Finland,FALSE,1,
332,332,10674,851,851,10674,full,TRUE,TRUE,FALSE,F<U+00F8>royar,FRO,Faroe Islands,DNK,Faroe Islands,FALSE,1,
347,347,10961,873,873,10961,full,TRUE,TRUE,FALSE,Croatia,HRV,Croatia,HRV,Croatia,FALSE,1,
348,348,10698,876,876,10698,full,TRUE,TRUE,FALSE,Hungary,HUN,Hungary,HUN,Hungary,FALSE,1,
352,352,729,878,878,729,full,TRUE,TRUE,FALSE,Isle of Man,IMN,Isle of Man,NA,Isle of Man,FALSE,1,
353,353,11453,912,912,11453,full,TRUE,TRUE,FALSE,Ireland,IRL,Ireland,NA,Ireland,FALSE,1,
354,354,189,183,183,189,full,TRUE,TRUE,FALSE,Iceland,ISL,Iceland,ISL,Iceland,FALSE,1,
386,386,11099,945,945,11099,full,TRUE,TRUE,FALSE,Lichtenstein,LIE,Liechtenstein,LIE,Liechtenstein,FALSE,1,
389,389,11470,948,948,11470,full,TRUE,TRUE,FALSE,Lithuania,LTU,Lithuania,LTU,Lithuania,FALSE,1,
390,390,11471,949,949,11471,full,TRUE,TRUE,FALSE,Luxembourg,LUX,Luxemburg,LUX,Luxembourg,FALSE,1,
391,391,11469,950,950,11469,full,TRUE,TRUE,FALSE,Latvia,LVA,Latvia,LVA,Latvia,FALSE,1,
393,393,11476,952,952,11476,full,TRUE,TRUE,FALSE,Moldova,MDA,Moldova,MDA,Republic of Moldova,FALSE,1,
425,425,11472,991,991,11472,full,TRUE,TRUE,FALSE,Macedonia,MKD,Macedonia,MKD,The former Yugoslav Republic of Macedonia,FALSE,1,
427,427,11474,993,993,11474,full,TRUE,TRUE,FALSE,Malta,MLT,NA,NA,Malta,FALSE,1,
429,429,11478,294,294,11478,full,TRUE,TRUE,FALSE,Montenegro,MNE,Montenegro,MNE,Montenegro,FALSE,1,
442,442,10788,1029,1029,10788,full,TRUE,TRUE,FALSE,Netherlands,NLD,Netherlands,NLD,Netherlands,FALSE,1,
443,443,10797,1030,1030,10797,full,TRUE,TRUE,FALSE,Norway,NOR,Norway,NOR,Norway (mainland),FALSE,1,
444,444,12206,1032,1032,12206,full,TRUE,TRUE,FALSE,Svalbard (excl. Jan Mayen),NOR.SVA,Svalbard,NOR,Svalbard,FALSE,1,
454,454,10830,1070,1070,10830,full,TRUE,TRUE,FALSE,Poland,POL,Poland,POL,Poland,FALSE,1,
472,472,10839,1150,1150,10839,full,TRUE,TRUE,FALSE,Romania,ROU,Romania,ROU,Romania,FALSE,1,
473,473,12074,1753,1753,12074,full,TRUE,TRUE,FALSE,Kaliningrad,RUS.KAL,NA,NA,"Kaliningrad, Russia",FALSE,1,
474,474,10420,1523,1523,10420,full,TRUE,TRUE,FALSE,"Ulyanovsk Oblast, Russian Federation",RUS.UL,NA,NA,"Ulyanovsk Oblast, Russian Federation",FALSE,1,
489,489,12200,412,412,12200,full,TRUE,TRUE,FALSE,Serbia & Kosovo,SRB,Serbia,SRB,Serbia,FALSE,1,
491,491,11506,1207,1207,11506,full,TRUE,TRUE,FALSE,Slovakia,SVK,Slovakia,SVK,Slovakia,FALSE,1,
492,492,11507,1208,1208,11507,full,TRUE,TRUE,FALSE,Slovenia,SVN,Slovenia,SVN,Slovenia,FALSE,1,
493,493,10877,1209,1209,10877,full,TRUE,TRUE,FALSE,Sweden,SWE,Sweden,SWE,Sweden,FALSE,1,
305,305,156,138,138,156,full,TRUE,TRUE,FALSE,Fernandina,ECU.GAL.FER,Fernandina,NA,Fernandina,FALSE,8,
722,722,NA,1266,1266,"11495, 12616, 12077, 12607",part,TRUE,TRUE,TRUE,Ukraine,UKR,Ukraine,UKR,Ukraine,FALSE,1,
730,730,NA,1360,1360,"10071, 12078",part,TRUE,TRUE,TRUE,Spain mainland,ESP.ESP,ESP.ESP,ESP,Spain (mainland),FALSE,1,
758,758,NA,836,836,"1033, 552, 550, 12065, 551",part,TRUE,TRUE,TRUE,Baleares,ESP.BAL,Balearics,ESP,Balearic Islands,FALSE,1,
759,759,NA,84,84,"725, 717",part,TRUE,TRUE,TRUE,Jersey and Guernsey,Channel Islands,JEY_GGY,Channel Islands,Channel Islands,FALSE,1,
760,760,NA,846,846,"12066, 10015, 736, 10104",part,TRUE,TRUE,TRUE,France,FRA,France,FRA,France (incl. Corsica),FALSE,1,
762,762,NA,865,865,"10688, 10413, 10409, 10410, 10412, 10408, 737, 10411, 10407, 12062, 1041, 1318, 1317, 1314, 1315, 12149",part,TRUE,TRUE,TRUE,Greece,GRC,Greece,GRC,Greece,FALSE,1,
771,771,11441,NA,"1833, 1834, 1835",11441,over,TRUE,TRUE,TRUE,Belgium,BEL,Belgium,BEL,Belgium,FALSE,1,
777,777,NA,NA,"854, 855, 856, 857","677, 12070",both,TRUE,TRUE,TRUE,Great Britain,GBR,Great Britain,GBR,Great Britain,FALSE,1,
780,780,NA,NA,"60, 220, 308, 382, 436, 457, 323, 499, 490","11089, 11094, 11091, 11095, 11093, 11096, 11092, 11090, 11097",full,TRUE,TRUE,TRUE,Austria,AUT,Austria,AUT,Austria,FALSE,1,
781,781,NA,NA,"1611, 1612, 1608, 1609, 1604, 1615, 1607, 1616, 1602, 1613, 1617, 1601, 1605, 921, 922, 1614, 1618, 1606, 1603, 1610","11041, 11045, 11046, 11043, 11036, 11034, 11040, 11035, 11031, 11038, 11042, 11030, 11044, 739, 738, 11039, 11029, 11033, 11037, 10034, 11032, 11098",full,TRUE,TRUE,TRUE,Italy,ITA,Italy,ITA,Italy,FALSE,1,
3,3,10579,509,509,10579,full,TRUE,TRUE,FALSE,"Angola, excl. Cabinda",AGO,Angola,AGO,Angola,FALSE,2,
142,142,10609,643,643,10609,full,TRUE,TRUE,FALSE,Burundi,BDI,Burundi,BDI,Burundi,FALSE,2,
143,143,10594,645,645,10594,full,TRUE,TRUE,FALSE,Benin,BEN,Benin,BEN,Benin,FALSE,2,
147,147,10081,649,649,10081,full,TRUE,TRUE,FALSE,Burkina Faso,BFA,Burkina Faso,BFA,Burkina Faso,FALSE,2,
190,190,10616,693,693,10616,full,TRUE,TRUE,FALSE,Central African Republic,CAF,Central African Republic,CAF,Central African Republic,FALSE,2,
245,245,10710,796,796,10710,full,TRUE,TRUE,FALSE,Ivory Coast,CIV,Cote d'Ivoire,CIV,Cote d'Ivoire,FALSE,2,
246,246,10636,797,797,10636,full,TRUE,TRUE,FALSE,Cameroon,CMR,Cameroon,CMR,Cameroon,FALSE,2,
247,247,10932,798,798,10932,full,TRUE,TRUE,FALSE,Za<U+00EF>re,COD,Congo (Democratic Rep),COD,Democratic Republic of the Congo,FALSE,2,
248,248,10641,799,799,10641,full,TRUE,TRUE,FALSE,Congo,COG,Congo,COG,Congo,FALSE,2,
298,298,10658,826,826,10658,full,TRUE,TRUE,FALSE,Djibouti,DJI,Djibouti,DJI,Djibouti,FALSE,2,
301,301,10574,830,830,10574,full,TRUE,TRUE,FALSE,Algeria,DZA,Algeria,DZA,Algeria,FALSE,2,
313,313,10668,834,834,10668,full,TRUE,TRUE,FALSE,Eritrea,ERI,Eritrea,ERI,Eritrea,FALSE,2,
314,314,10923,497,497,10923,full,TRUE,TRUE,FALSE,Western Sahara,ESH,Western Sahara,ESH,Western Sahara,FALSE,2,
315,315,145,1882,1882,145,full,TRUE,TRUE,FALSE,El Hierro,ESP.CI.EH,NA,NA,El Hierro,FALSE,2,
316,316,150,1877,1877,150,full,TRUE,TRUE,FALSE,Fuerteventura,ESP.CI.FU,NA,NA,Fuerteventura,FALSE,2,
317,317,149,1878,1878,149,full,TRUE,TRUE,FALSE,Gran Canaria,ESP.CI.GC,NA,NA,Gran Canaria,FALSE,2,
318,318,151,1879,1879,151,full,TRUE,TRUE,FALSE,Lanzarote,ESP.CI.LA,NA,NA,Lanzarote,FALSE,2,
319,319,147,1881,1881,147,full,TRUE,TRUE,FALSE,La Gomera,ESP.CI.LG,NA,NA,La Gomera,FALSE,2,
320,320,146,1880,1880,146,full,TRUE,TRUE,FALSE,La Palma,ESP.CI.LP,NA,NA,La Palma,FALSE,2,
321,321,148,1876,1876,148,full,TRUE,TRUE,FALSE,Tenerife,ESP.CI.TE,NA,NA,Tenerife,FALSE,2,
323,323,10669,839,839,10669,full,TRUE,TRUE,FALSE,Ethiopia,ETH,Ethiopia,ETH,Ethiopia,FALSE,2,
330,330,1075,1389,1389,1075,full,TRUE,TRUE,FALSE,Mayotte,FRA.MAY,NA,NA,Mayotte,FALSE,2,
331,331,202,243,243,202,full,TRUE,TRUE,FALSE,La R¨¦union,FRA.REU,La R¨¦union,FRA,Reunion,FALSE,2,
333,333,10036,852,852,10036,full,TRUE,TRUE,FALSE,Gabon,GAB,Gabon,GAB,Gabon,FALSE,2,
334,334,10679,154,154,10679,full,TRUE,TRUE,FALSE,"Gambia, The",GAM,Gambia,GMB,Gambia,FALSE,2,
335,335,575,853,853,575,full,TRUE,TRUE,FALSE,Diego Garcia,GBR.DG,Diego Garcia,NA,Diego Garcia,FALSE,2,
337,337,10683,859,859,10683,full,TRUE,TRUE,FALSE,Ghana,GHA,Ghana,GHA,Ghana,FALSE,2,
338,338,10691,860,860,10691,full,TRUE,TRUE,FALSE,Guinea,GIN,Guinea,GIN,Guinea,FALSE,2,
383,383,10733,942,942,10733,full,TRUE,TRUE,FALSE,Liberia,LBR,Liberia,LBR,Liberia,FALSE,2,
384,384,10735,943,943,10735,full,TRUE,TRUE,FALSE,Libya,LBY,Libya,LBY,Libyan Arab Jamahiriya,FALSE,2,
388,388,10087,947,947,10087,full,TRUE,TRUE,FALSE,Lesotho,LSO,Lesotho,LSO,Lesotho,FALSE,2,
392,392,10761,951,951,10761,full,TRUE,TRUE,FALSE,Morocco,MAR,Morocco,MAR,Morocco,FALSE,2,
426,426,10755,992,992,10755,full,TRUE,TRUE,FALSE,Mali,MLI,Mali,MLI,Mali,FALSE,2,
430,430,10770,1017,1017,10770,full,TRUE,TRUE,FALSE,Mauritania,MRT,Mauritania,MRT,Mauritania,FALSE,2,
433,433,1048,1623,1623,1048,full,TRUE,TRUE,FALSE,Mauritius,MUS.MUS,NA,MUS,Mauritius island,FALSE,2,
434,434,1059,373,373,1059,full,TRUE,TRUE,FALSE,Rodrigues,MUS.RO,Rodrigues (Mascarene Islands),MUS,Rodrigues (Mauritius),FALSE,2,
436,436,10090,1023,1023,10090,full,TRUE,TRUE,FALSE,Namibia,NAM,Namibia,NAM,Namibia,FALSE,2,
438,438,10793,1025,1025,10793,full,TRUE,TRUE,FALSE,Niger,NER,Niger,NER,Niger,FALSE,2,
457,457,131,102,102,131,full,TRUE,TRUE,FALSE,Corvo,PRT.AZO.COR,Corvo (Azores),PRT,Corvo,FALSE,2,
458,458,133,132,132,133,full,TRUE,TRUE,FALSE,Faial,PRT.AZO.FAI,Faial Island (Azores),PTR,Faial,FALSE,2,
459,459,132,146,146,132,full,TRUE,TRUE,FALSE,Flores,PRT.AZO.FLO,Flores (Azores),PTR,Flores,FALSE,2,
460,460,135,160,160,135,full,TRUE,TRUE,FALSE,Graciosa,PRT.AZO.GRA,Graciosa Island (Azores),PTR,Graciosa,FALSE,2,
461,461,136,405,405,136,full,TRUE,TRUE,FALSE,S<U+00E3>o Jorge,PRT.AZO.JOR,Sao Jorge Island (Azores),PTR,S<U+00E3>o Jorge,FALSE,2,
462,462,139,399,399,139,full,TRUE,TRUE,FALSE,Santa Maria,PRT.AZO.MAR,Santa Maria Island (Azores),PTR,Santa Maria,FALSE,2,
466,466,415,1075,1075,415,full,TRUE,TRUE,FALSE,Desertas,PRT.DES,Desertas,NA,Desertas,FALSE,2,
469,469,416,1077,1077,416,full,TRUE,TRUE,FALSE,Porto Santo,PRT.PSA,Porto Santo,NA,Porto Santo,FALSE,2,
470,470,417,1078,1078,417,full,TRUE,TRUE,FALSE,Savage Islands,PRT.SIS,Salvage Islands (Portugal),PTR,Salvage Islands,FALSE,2,
475,475,10845,1192,1192,10845,full,TRUE,TRUE,FALSE,Rwanda,RWA,Rwanda,RWA,Rwanda,FALSE,2,
477,477,10857,1195,1195,10857,full,TRUE,TRUE,FALSE,Senegal,SEN,Senegal,SEN,Senegal,FALSE,2,
